App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4,159,19000000,10000,True,0.0,Everyone,Art & Design,nan,2018-07-01,1.0.0,4.0.3
Coloring book moana,ART_AND_DESIGN,3,967,14000000,500000,True,0.0,Everyone,Art & Design,Pretend Play,2018-01-15,2.0.0,4.0.3
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4,87510,8700000,5000000,True,0.0,Everyone,Art & Design,nan,2018-01-08,1.2.4,4.0.3
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4,967,2800000,100000,True,0.0,Everyone,Art & Design,Creativity,2018-06-20,1.1,4.4
Paper flowers instructions,ART_AND_DESIGN,4,167,5600000,50000,True,0.0,Everyone,Art & Design,nan,2017-03-26,1.0,2.3
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3,178,19000000,50000,True,0.0,Everyone,Art & Design,nan,2018-04-26,1.1,4.0.3
Infinite Painter,ART_AND_DESIGN,4,36815,29000000,1000000,True,0.0,Everyone,Art & Design,nan,2018-06-14,6.1.61.1,4.2
Garden Coloring Book,ART_AND_DESIGN,4,13791,33000000,1000000,True,0.0,Everyone,Art & Design,nan,2017-09-20,2.9.2,3.0
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4,121,3100000,10000,True,0.0,Everyone,Art & Design,Creativity,2018-03-07,2.8,4.0.3
Text on Photo - Fonteee,ART_AND_DESIGN,4,13880,28000000,1000000,True,0.0,Everyone,Art & Design,nan,2017-10-27,1.0.4,4.1
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4,8788,12000000,1000000,True,0.0,Everyone,Art & Design,nan,2018-07-31,1.0.15,4.0
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4,44829,20000000,10000000,True,0.0,Teen,Art & Design,nan,2018-02-04,3.8,4.1
Mandala Coloring Book,ART_AND_DESIGN,4,4326,21000000,100000,True,0.0,Everyone,Art & Design,nan,2018-06-26,1.0.4,4.4
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4,1518,37000000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-08,1.2.3,2.3
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4,3632,5500000,500000,True,0.0,Everyone,Art & Design,nan,2018-07-31,3.1,4.1
350 Diy Room Decor Ideas,ART_AND_DESIGN,4,27,17000000,10000,True,0.0,Everyone,Art & Design,nan,2017-07-11,1.0,2.3
FlipaClip - Cartoon animation,ART_AND_DESIGN,4,194216,39000000,5000000,True,0.0,Everyone,Art & Design,nan,2018-03-08,2.2.5,4.0.3
ibis Paint X,ART_AND_DESIGN,4,224399,31000000,10000000,True,0.0,Everyone,Art & Design,nan,2018-07-30,5.5.4,4.1
Logo Maker - Small Business,ART_AND_DESIGN,4,450,14000000,100000,True,0.0,Everyone,Art & Design,nan,2018-04-20,4.0,4.1
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4,654,12000000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-20,1.1,4.0.3
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4,7699,4200000,500000,True,0.0,Everyone 10+,Art & Design,nan,2018-12-07,2.2.6.2,4.0.3
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4,118,23000000,50000,True,0.0,Everyone,Art & Design,nan,2018-07-07,1.1.3,4.1
Harley Quinn wallpapers HD,ART_AND_DESIGN,4,192,6000000,10000,True,0.0,Everyone,Art & Design,nan,2018-04-25,1.5,3.0
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4,20260,25000000,500000,True,0.0,Everyone,Art & Design,Creativity,2017-11-10,1.0.8,4.0.3
Animated Photo Editor,ART_AND_DESIGN,4,203,6100000,100000,True,0.0,Everyone,Art & Design,nan,2018-03-21,1.03,4.0.3
Pencil Sketch Drawing,ART_AND_DESIGN,3,136,4600000,10000,True,0.0,Everyone,Art & Design,nan,2018-12-07,6.0,2.3
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4,223,4200000,100000,True,0.0,Everyone,Art & Design,nan,2017-08-22,1.0,2.3
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4,1120,9200000,100000,True,0.0,Everyone,Art & Design,nan,2018-12-07,6.7.12.2018,4.0.3
Art Drawing Ideas,ART_AND_DESIGN,4,227,5200000,50000,True,0.0,Everyone,Art & Design,nan,2018-05-31,1.2,2.3
Anime Manga Coloring Book,ART_AND_DESIGN,4,5035,11000000,100000,True,0.0,Everyone,Art & Design,nan,2018-07-19,2.20,4.0
Easy Origami Ideas,ART_AND_DESIGN,4,1015,11000000,100000,True,0.0,Everyone,Art & Design,nan,2018-06-01,1.1.0,4.1
I Creative Idea,ART_AND_DESIGN,4,353,4200000,10000,True,0.0,Teen,Art & Design,nan,2018-04-27,1.6,4.1
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3,564,9200000,100000,True,0.0,Everyone,Art & Design,nan,2018-11-07,2.1,4.1
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4,8145,24000000,500000,True,0.0,Everyone,Art & Design,Creativity,2018-02-08,1.0.9,4.4
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4,158,11000000,10000,True,0.0,Everyone,Art & Design,nan,2017-11-29,1.3,4.0.3
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9400000,500000,True,0.0,Everyone,Art & Design,nan,2018-03-31,1,4.0
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4,117,15000000,10000,True,0.0,Everyone,Art & Design,nan,2018-07-20,2.0.1,4.0.3
