,App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4,159,19000000,10000,TRUE,0,Everyone,Art & Design,nan,2018-07-01 00:00:00,1.0.0,4.0.3
1,Coloring book moana,ART_AND_DESIGN,3,967,14000000,500000,TRUE,0,Everyone,Art & Design,Pretend Play,2018-01-15 00:00:00,2.0.0,4.0.3
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4,87510,8700000,5000000,TRUE,0,Everyone,Art & Design,nan,2018-01-08 00:00:00,1.2.4,4.0.3
3,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4,967,2800000,100000,TRUE,0,Everyone,Art & Design,Creativity,2018-06-20 00:00:00,1.1,4.4
4,Paper flowers instructions,ART_AND_DESIGN,4,167,5600000,50000,TRUE,0,Everyone,Art & Design,nan,2017-03-26 00:00:00,1.0,2.3
5,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3,178,19000000,50000,TRUE,0,Everyone,Art & Design,nan,2018-04-26 00:00:00,1.1,4.0.3
6,Infinite Painter,ART_AND_DESIGN,4,36815,29000000,1000000,TRUE,0,Everyone,Art & Design,nan,2018-06-14 00:00:00,6.1.61.1,4.2
7,Garden Coloring Book,ART_AND_DESIGN,4,13791,33000000,1000000,TRUE,0,Everyone,Art & Design,nan,2017-09-20 00:00:00,2.9.2,3.0
8,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4,121,3100000,10000,TRUE,0,Everyone,Art & Design,Creativity,2018-03-07 00:00:00,2.8,4.0.3
9,Text on Photo - Fonteee,ART_AND_DESIGN,4,13880,28000000,1000000,TRUE,0,Everyone,Art & Design,nan,2017-10-27 00:00:00,1.0.4,4.1
10,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4,8788,12000000,1000000,TRUE,0,Everyone,Art & Design,nan,2018-07-31 00:00:00,1.0.15,4.0
11,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4,44829,20000000,10000000,TRUE,0,Teen,Art & Design,nan,2018-02-04 00:00:00,3.8,4.1
12,Mandala Coloring Book,ART_AND_DESIGN,4,4326,21000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-06-26 00:00:00,1.0.4,4.4
13,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4,1518,37000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-03-08 00:00:00,1.2.3,2.3
14,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4,3632,5500000,500000,TRUE,0,Everyone,Art & Design,nan,2018-07-31 00:00:00,3.1,4.1
15,350 Diy Room Decor Ideas,ART_AND_DESIGN,4,27,17000000,10000,TRUE,0,Everyone,Art & Design,nan,2017-07-11 00:00:00,1.0,2.3
16,FlipaClip - Cartoon animation,ART_AND_DESIGN,4,194216,39000000,5000000,TRUE,0,Everyone,Art & Design,nan,2018-03-08 00:00:00,2.2.5,4.0.3
17,ibis Paint X,ART_AND_DESIGN,4,224399,31000000,10000000,TRUE,0,Everyone,Art & Design,nan,2018-07-30 00:00:00,5.5.4,4.1
18,Logo Maker - Small Business,ART_AND_DESIGN,4,450,14000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-04-20 00:00:00,4.0,4.1
19,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4,654,12000000,100000,TRUE,0,Everyone,Art & Design,nan,2018-03-20 00:00:00,1.1,4.0.3
20,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4,7699,4200000,500000,TRUE,0,Everyone 10+,Art & Design,nan,2018-12-07 00:00:00,2.2.6.2,4.0.3
21,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4,118,23000000,50000,TRUE,0,Everyone,Art & Design,nan,2018-07-07 00:00:00,1.1.3,4.1
22,Harley Quinn wallpapers HD,ART_AND_DESIGN,4,192,6000000,10000,TRUE,0,Everyone,Art & Design,nan,2018-04-25 00:00:00,1.5,3.0
23,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4,20260,25000000,500000,TRUE,0,Everyone,Art & Design,Creativity,2017-11-10 00:00:00,1.0.8,4.0.3
24,Animated Photo Editor,ART_AND_DESIGN,4,203,6100000,100000,TRUE,0,Everyone,Art & Design,nan,2018-03-21 00:00:00,1.03,4.0.3
25,Pencil Sketch Drawing,ART_AND_DESIGN,3,136,4600000,10000,TRUE,0,Everyone,Art & Design,nan,2018-12-07 00:00:00,6.0,2.3
26,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4,223,4200000,100000,TRUE,0,Everyone,Art & Design,nan,2017-08-22 00:00:00,1.0,2.3
